EID,Xvalue,Yvalue,Zvalue,time
18320,-3.2453403472900386,-7.2137298583984375,0.8140285611152649,2017-04-14 20:28:31.713
18321,-1.3527239561080933,-6.860584735870361,1.4628572463989258,2017-04-14 20:28:31.721
18322,-0.3699041604995728,-6.48828649520874,1.4688427448272705,2017-04-14 20:28:31.731
18323,0.6200982332229614,-5.803544998168945,1.6603789329528809,2017-04-14 20:28:31.741
18324,1.1779472827911377,-5.093664169311523,1.236605167388916,2017-04-14 20:28:31.751
18325,1.1061211824417114,-4.23773717880249,0.7469909191131592,2017-04-14 20:28:31.761
18326,1.0678139925003052,-3.5972881317138667,-0.08499415963888167,2017-04-14 20:28:31.771
18327,1.316810965538025,-3.2752678394317627,-0.690727174282074,2017-04-14 20:28:31.781
18328,1.533486247062683,-3.35667085647583,-0.7422025203704834,2017-04-14 20:28:31.791
18329,1.9045875072479248,-3.643975019454956,-0.6823474764823914,2017-04-14 20:28:31.801
18330,2.2577321529388428,-3.9827544689178467,-0.3256114423274994,2017-04-14 20:28:31.811
18331,2.5270798206329346,-4.1635165214538565,-0.1711854189634323,2017-04-14 20:28:31.821
18332,2.718616008758545,-4.180276393890382,0.21667525172233584,2017-04-14 20:28:31.831
18333,2.595314741134644,-4.262876033782959,0.7745242714881897,2017-04-14 20:28:31.842
18334,2.60010313987732,-4.644751071929932,1.1635819673538208,2017-04-14 20:28:31.851
18335,1.6077064275741575,-5.558139324188232,0.9780313968658448,2017-04-14 20:28:31.861
18336,-0.2178723514080048,-6.8127007484436035,0.4944026470184326,2017-04-14 20:28:31.871
18337,-2.75812029838562,-8.13789176940918,0.11133038252592088,2017-04-14 20:28:31.881
18338,-7.091625213623048,-10.715250015258787,-2.2924480438232417,2017-04-14 20:28:31.892
18339,-25.732879638671875,-19.402610778808594,-19.215862274169922,2017-04-14 20:28:31.901
18340,-39.226600646972656,-21.25213050842285,-12.203246116638185,2017-04-14 20:28:31.912
18341,-36.07463455200195,-11.501745223999025,-7.518990516662598,2017-04-14 20:28:31.922
18342,-17.726669311523438,2.019509077072144,-9.248801231384276,2017-04-14 20:28:31.932
18343,-11.520898818969727,2.9520506858825684,-9.718064308166504,2017-04-14 20:28:31.941
18344,-9.518148422241213,-3.423708438873291,-6.5972228050231925,2017-04-14 20:28:31.951
18345,-7.29154109954834,-6.184223175048827,-3.4739866256713867,2017-04-14 20:28:31.961
18346,-2.470816135406494,-6.696582317352295,1.4748282432556152,2017-04-14 20:28:31.971
18347,3.0550012588500977,-7.510610580444336,7.259219646453857,2017-04-14 20:28:31.981
18348,3.669114112854004,-9.91319179534912,7.157465934753418,2017-04-14 20:28:31.991
18349,0.8032546639442444,-11.828553199768065,2.802412986755371,2017-04-14 20:28:32.001
18350,-1.7417817115783691,-11.222820281982422,3.3662476539611816,2017-04-14 20:28:32.011
18351,-6.19379997253418,-9.72285270690918,6.600813865661621,2017-04-14 20:28:32.021
18352,-10.921151161193848,-9.378087997436523,7.242460250854492,2017-04-14 20:28:32.031
18353,-15.569493293762207,-10.267534255981444,2.9245173931121826,2017-04-14 20:28:32.042
18354,-18.057069778442386,-11.510124206542967,-11.90516757965088,2017-04-14 20:28:32.052
18355,-18.31803703308105,-14.856021881103516,-27.530925750732425,2017-04-14 20:28:32.061
18356,-3.796006679534912,-11.496956825256348,-9.008183479309082,2017-04-14 20:28:32.072
18357,3.551798105239868,-8.215703010559082,3.287238836288452,2017-04-14 20:28:32.082
18358,6.854599475860598,-6.0178260803222665,3.4320881366729736,2017-04-14 20:28:32.092
18359,7.583633899688723,-4.987122058868408,1.88782799243927,2017-04-14 20:28:32.103
18360,7.382521152496338,-5.17746114730835,2.571372509002685,2017-04-14 20:28:32.113
18361,4.863820552825928,-5.759252071380615,1.8327614068984983,2017-04-14 20:28:32.123
18362,2.5737667083740234,-7.612364292144775,0.7398083209991455,2017-04-14 20:28:32.133
18363,-0.23343466222286224,-11.065999984741213,0.8942343592643738,2017-04-14 20:28:32.142
18364,-3.3051953315734863,-14.70758056640625,1.7501614093780518,2017-04-14 20:28:32.152
18365,-5.245696067810059,-15.591041564941404,3.2118215560913086,2017-04-14 20:28:32.161
